cve,num_cases
CVE-2016-4951,100
CVE-2016-4979,100
CVE-2016-5244,100
CVE-2016-5338,100
CVE-2016-5352,100
CVE-2016-5359,100
CVE-2016-5703,100
CVE-2016-5731,100
CVE-2016-5735,100
CVE-2016-5767,100
CVE-2016-6129,100
CVE-2016-6187,100
CVE-2016-6250,100
CVE-2016-6506,100
CVE-2016-6516,100
CVE-2016-6520,100
CVE-2016-7157,100
CVE-2016-7515,100
CVE-2016-7520,100
CVE-2016-7527,100
CVE-2016-7536,100
CVE-2016-7540,100
CVE-2016-7797,100
CVE-2016-7798,100
CVE-2016-7838,100
CVE-2016-7995,100
CVE-2016-8576,100
CVE-2016-8633,100
CVE-2016-8646,100
CVE-2016-8688,100
CVE-2016-8689,100
CVE-2016-8740,100
CVE-2016-9084,100
CVE-2016-9298,100
CVE-2016-9392,100
CVE-2016-9573,100
CVE-2016-9888,100
CVE-2017-0375,100
CVE-2017-0376,100
CVE-2017-1000369,100
CVE-2017-1000494,100
CVE-2017-11147,100
CVE-2017-11176,100
CVE-2017-11408,100
CVE-2017-11664,100
CVE-2017-11721,100
CVE-2017-12640,100
CVE-2017-12665,100
CVE-2017-13146,100
CVE-2017-13673,100
CVE-2017-14166,100
CVE-2017-14171,100
CVE-2017-14172,100
CVE-2017-14230,100
CVE-2017-15102,100
CVE-2017-15385,100
CVE-2017-16525,100
CVE-2017-16528,100
CVE-2017-16534,100
CVE-2017-16643,100
CVE-2017-17439,100
CVE-2017-18079,100
CVE-2017-18255,100
CVE-2017-18270,100
CVE-2017-18922,100
CVE-2017-2601,100
CVE-2017-2608,100
CVE-2017-2613,100
CVE-2017-2630,100
CVE-2017-3738,100
CVE-2017-5226,100
CVE-2017-5509,100
CVE-2017-5578,100
CVE-2017-5970,100
CVE-2017-6194,100
CVE-2017-6214,100
CVE-2017-6347,100
CVE-2017-6348,100
CVE-2017-6349,100
CVE-2017-6429,100
CVE-2017-6439,100
CVE-2017-6503,100
CVE-2017-6886,100
CVE-2017-6889,25
CVE-2017-7377,100
CVE-2017-7472,100
CVE-2017-7585,100
CVE-2017-7741,100
CVE-2017-7862,100
CVE-2017-8069,100
CVE-2017-8831,100
CVE-2017-8890,100
CVE-2017-9142,100
CVE-2017-9201,100
CVE-2017-9207,100
CVE-2017-9330,100
CVE-2017-9349,100
CVE-2017-9438,100
CVE-2018-0500,100
CVE-2018-1000041,36
CVE-2018-1000127,100
CVE-2018-1000193,100
CVE-2018-10188,100
CVE-2018-10756,100
CVE-2018-10876,100
CVE-2018-10887,100
CVE-2018-11382,100
CVE-2018-11594,100
CVE-2018-12249,100
CVE-2018-12320,100
CVE-2018-13300,100
CVE-2018-13301,100
CVE-2018-13305,100
CVE-2018-13785,100
CVE-2018-14043,100
CVE-2018-14361,100
CVE-2018-15501,100
CVE-2018-15572,100
CVE-2018-15594,100
CVE-2018-15853,100
CVE-2018-15855,100
CVE-2018-15862,100
CVE-2018-16150,100
CVE-2018-16419,100
CVE-2018-16421,100
CVE-2018-17568,100
CVE-2018-18225,100
CVE-2018-20174,100
CVE-2018-20176,100
CVE-2018-20177,100
CVE-2018-20511,100
CVE-2018-20748,100
CVE-2018-20763,100
CVE-2018-20784,100
CVE-2018-5332,100
CVE-2018-5334,100
CVE-2018-6337,100
CVE-2018-7335,100
CVE-2018-7751,100
CVE-2018-7998,100
CVE-2018-8798,100
CVE-2018-9273,100
CVE-2018-9275,100
CVE-2018-9841,100
CVE-2018-9989,100
CVE-2019-1010247,100
CVE-2019-1020014,100
CVE-2019-10895,100
CVE-2019-11937,100
CVE-2019-12098,100
CVE-2019-12951,100
CVE-2019-12981,100
CVE-2019-12982,100
CVE-2019-13135,100
CVE-2019-13136,100
CVE-2019-13221,100
CVE-2019-13224,100
CVE-2019-13227,100
CVE-2019-13298,100
CVE-2019-13300,100
CVE-2019-14814,100
CVE-2019-15222,100
CVE-2019-15292,100
CVE-2019-1549,100
CVE-2019-15900,100
CVE-2019-15916,100
CVE-2019-15924,100
CVE-2019-16163,100
CVE-2019-16714,100
CVE-2019-17547,100
CVE-2019-18282,100
CVE-2019-18625,100
CVE-2019-18671,100
CVE-2019-18680,100
CVE-2019-18812,100
CVE-2019-19044,100
CVE-2019-19053,100
CVE-2019-19058,100
CVE-2019-19060,100
CVE-2019-19061,100
CVE-2019-19071,100
