cve,rank
CVE-2013-2021,132.0
CVE-2013-2058,2.0
CVE-2013-2061,23.0
CVE-2013-2080,587.0
CVE-2013-2081,14.0
CVE-2013-2082,3.0
CVE-2013-2083,6.0
CVE-2013-2094,3.0
CVE-2013-2124,1.0
CVE-2013-2126,19.0
CVE-2013-2127,703.0
CVE-2013-2128,1.0
CVE-2013-2130,981.0
CVE-2013-2132,24.0
CVE-2013-2140,2.0
CVE-2013-2141,1.0
CVE-2013-2146,14.0
CVE-2013-2174,6.0
CVE-2013-2182,2.0
CVE-2013-2206,1.0
CVE-2013-2220,3.0
CVE-2013-2232,1.0
CVE-2013-2234,1.0
CVE-2013-2237,1.0
CVE-2013-2277,2.0
CVE-2013-2495,1.0
CVE-2013-2496,5.0
CVE-2013-2546,84.0
CVE-2013-2547,13.0
CVE-2013-2548,16.0
CVE-2013-2596,1.0
CVE-2013-2634,1.0
CVE-2013-2635,1.0
CVE-2013-2636,1.0
CVE-2013-2850,1.0
CVE-2013-2929,3.0
CVE-2013-2930,1.0
CVE-2013-3076,1.0
CVE-2013-3222,1.0
CVE-2013-3223,1.0
CVE-2013-3224,1.0
CVE-2013-3225,1.0
CVE-2013-3226,1.0
CVE-2013-3227,1.0
CVE-2013-3228,1.0
CVE-2013-3229,1.0
CVE-2013-3230,1.0
CVE-2013-3231,1.0
CVE-2013-3232,1.0
CVE-2013-3233,1.0
CVE-2013-3234,1.0
CVE-2013-3235,2.0
CVE-2013-3236,1.0
CVE-2013-3237,1.0
CVE-2013-3239,1.0
CVE-2013-3301,5.0
CVE-2013-3302,12.0
CVE-2013-3670,10.0
CVE-2013-3672,1.0
CVE-2013-3674,3.0
CVE-2013-3722,1.0
CVE-2013-3735,48.0
CVE-2013-3742,14.0
CVE-2013-4113,956.0
CVE-2013-4118,61.0
CVE-2013-4119,38.0
CVE-2013-4125,1.0
CVE-2013-4127,1.0
CVE-2013-4129,1.0
CVE-2013-4148,2.0
CVE-2013-4149,2.0
CVE-2013-4150,1.0
CVE-2013-4151,1.0
