cve,rank
CVE-2011-3353,12.0
CVE-2011-3359,17.0
CVE-2011-3362,996.0
CVE-2011-3363,1.0
CVE-2011-3591,2.0
CVE-2011-3592,2941.0
CVE-2011-3602,2.0
CVE-2011-3619,27.0
CVE-2011-3637,1.0
CVE-2011-3638,29.0
CVE-2011-3934,1.0
CVE-2011-3935,1.0
CVE-2011-3937,25.0
CVE-2011-3940,9.0
CVE-2011-3941,12.0
CVE-2011-3944,4.0
CVE-2011-3945,439.0
CVE-2011-3946,4.0
CVE-2011-3947,385.0
CVE-2011-3973,1.0
CVE-2011-3974,10.0
CVE-2011-4031,1.0
CVE-2011-4080,1.0
CVE-2011-4081,1.0
CVE-2011-4086,1.0
CVE-2011-4087,131.0
CVE-2011-4097,2.0
CVE-2011-4098,12.0
CVE-2011-4112,86.0
CVE-2011-4127,398.5
CVE-2011-4131,1.0
CVE-2011-4324,2597.0
CVE-2011-4326,1.0
CVE-2011-4347,1.0
CVE-2011-4348,5.0
CVE-2011-4352,33.0
CVE-2011-4364,884.0
CVE-2011-4579,139.0
CVE-2011-4594,13.0
CVE-2011-4604,2.0
CVE-2011-4611,1.0
CVE-2011-4621,119.0
CVE-2011-4634,2.0
CVE-2011-4718,1.0
CVE-2011-4780,1367.0
CVE-2011-4782,23.0
CVE-2011-4913,1.0
CVE-2011-4914,1043.0
CVE-2011-4966,31.0
CVE-2011-5321,80.0
CVE-2011-5327,1.0
CVE-2012-0028,1481.0
CVE-2012-0033,1.0
CVE-2012-0036,154.0
CVE-2012-0037,18.0
CVE-2012-0038,640.0
CVE-2012-0044,1.0
CVE-2012-0045,1.0
CVE-2012-0058,1.0
CVE-2012-0207,3.0
CVE-2012-0807,9.0
CVE-2012-0848,1.0
CVE-2012-0850,1.0
CVE-2012-0851,107.0
CVE-2012-0852,45.0
CVE-2012-0853,90.0
CVE-2012-0854,431.0
CVE-2012-0858,49.0
CVE-2012-0859,1.0
CVE-2012-0879,305.0
CVE-2012-0957,1.0
CVE-2012-1013,1.0
CVE-2012-1016,1.0
CVE-2012-1090,2.0
CVE-2012-1097,1.0
CVE-2012-1107,12.0
CVE-2012-1108,230.0
CVE-2012-1146,1.0
CVE-2012-1176,1.0
CVE-2012-1179,2.0
CVE-2012-1190,285.0
CVE-2012-1571,147.0
CVE-2012-1583,307.0
CVE-2012-1584,29.0
CVE-2012-1601,35.0
CVE-2012-1836,3.0
CVE-2012-1902,574.0
CVE-2012-1909,1.0
CVE-2012-2100,1.0
CVE-2012-2119,56.0
CVE-2012-2121,12.0
CVE-2012-2123,1.0
CVE-2012-2127,1537.0
CVE-2012-2133,3.0
CVE-2012-2136,36.0
CVE-2012-2143,216.0
CVE-2012-2313,7.0
CVE-2012-2319,1.0
CVE-2012-2330,3.0
CVE-2012-2375,3.0
CVE-2012-2383,1.0
CVE-2012-2384,1.0
CVE-2012-2386,108.0
CVE-2012-2390,232.0
CVE-2012-2669,3.0
CVE-2012-2673,619.0
CVE-2012-2674,1.0
CVE-2012-2675,91.0
CVE-2012-2686,1396.0
CVE-2012-2744,8.0
CVE-2012-2745,16.0
CVE-2012-2772,5.0
CVE-2012-2775,1.0
CVE-2012-2776,2.0
CVE-2012-2777,1.0
CVE-2012-2779,1.0
CVE-2012-2783,1.0
CVE-2012-2784,1.0
CVE-2012-2786,1.0
CVE-2012-2787,1.0
CVE-2012-2788,1.0
CVE-2012-2789,37.0
CVE-2012-2790,1.0
CVE-2012-2791,1.0
CVE-2012-2793,1.0
CVE-2012-2794,1.0
CVE-2012-2796,1.0
CVE-2012-2797,1.0
CVE-2012-2798,1.0
CVE-2012-2800,1.0
CVE-2012-2801,1.0
CVE-2012-2802,1.0
CVE-2012-2803,5.0
CVE-2012-2804,2.0
CVE-2012-3363,25.0
CVE-2012-3364,1.0
CVE-2012-3375,2.0
CVE-2012-3400,22.0
CVE-2012-3412,1.0
CVE-2012-3430,1.0
CVE-2012-3501,5.0
CVE-2012-3510,93.0
CVE-2012-3511,3.0
CVE-2012-3520,1.0
CVE-2012-3525,217.0
CVE-2012-3552,4178.0
CVE-2012-4219,20.0
CVE-2012-4444,1.0
CVE-2012-4467,1.0
CVE-2012-4508,150.0
CVE-2012-4530,1.0
CVE-2012-4565,1.0
CVE-2012-5116,1696.0
CVE-2012-5374,184.0
CVE-2012-5375,29.0
CVE-2012-5517,7.0
CVE-2012-5532,14.0
CVE-2012-6075,1.0
CVE-2012-6084,457.0
CVE-2012-6112,1.0
CVE-2012-6113,698.0
CVE-2012-6536,1.0
CVE-2012-6537,1040.0
CVE-2012-6538,310.0
CVE-2012-6539,1.0
CVE-2012-6540,1.0
CVE-2012-6541,1.0
CVE-2012-6542,17.0
CVE-2012-6543,1.0
CVE-2012-6544,34.0
CVE-2012-6545,18.0
CVE-2012-6546,340.0
CVE-2012-6547,41.0
CVE-2012-6548,404.0
CVE-2012-6549,83.0
CVE-2012-6617,48.0
CVE-2012-6618,56.0
CVE-2012-6638,6.0
CVE-2012-6647,2.0
CVE-2012-6657,10.0
CVE-2012-6689,1.0
CVE-2012-6696,417.0
CVE-2012-6697,5.0
CVE-2012-6701,135.0
CVE-2012-6703,5.0
CVE-2012-6704,38.0
CVE-2012-6712,1021.0
CVE-2013-0166,111.0
CVE-2013-0169,45.0
CVE-2013-0178,230.0
CVE-2013-0211,272.0
CVE-2013-0216,2.0
CVE-2013-0217,534.0
CVE-2013-0250,10.0
CVE-2013-0268,1.0
CVE-2013-0281,142.0
CVE-2013-0290,3.0
CVE-2013-0310,1.0
CVE-2013-0311,923.0
CVE-2013-0313,3.0
CVE-2013-0349,1.0
CVE-2013-0844,1.0
CVE-2013-0845,351.0
CVE-2013-0846,1.0
CVE-2013-0848,1.0
CVE-2013-0849,8.0
CVE-2013-0850,52.0
CVE-2013-0851,238.0
CVE-2013-0852,1.0
CVE-2013-0853,2.0
